客
卿
觀
掛
口
具
大
敦
突
力
面
暮
本
北
賞
選
小
水
叔
心
阿
語
軟
辱
由
有
翼
人
日
場
哉
電
坐
宙
準
卽
辰
震
出
則
托
卓
土
破
行
兮
畫
獲
後
