家
歌
價
加
可
假
街
暇
佳
架
各
角
刻
覺
脚
閣
却
間
簡
看
干
刊
幹
懇
肝
姦
渴
感
減
監
甘
敢
鑑
甲
江
強
講
康
降
剛
綱
鋼
開
改
個
槪
介
蓋
皆
慨
客
車
擧
去
拒
居
據
巨
距
件
建
健
乾
傑
乞
檢
儉
劍
格
擊
激
隔
見
堅
犬
遣
肩
絹
牽
結
決
潔
缺
訣
兼
謙
京
敬
輕
競
景
境
經
警
慶
驚
更
傾
鏡
頃
徑
硬
耕
卿
庚
竟
界
計
係
階
鷄
季
系
繼
戒
契
桂
啓
溪
械
繫
癸
高
古
苦
告
考
固
故
孤
庫
姑
稿
鼓
顧
枯
曲
穀
哭
谷
困
坤
骨
工
空
公
共
功
孔
攻
貢
供
恐
恭
果
科
課
過
誇
寡
郭
觀
關
官
管
寬
貫
館
慣
冠
光
廣
鑛
狂
掛
壞
怪
塊
愧
校
敎
交
橋
巧
較
郊
矯
九
口
球
區
具
舊
救
求
句
究
構
久
拘
丘
俱
龜
驅
苟
懼
狗
國
局
菊
軍
郡
君
群
屈
宮
窮
弓
權
券
勸
卷
拳
厥
軌
貴
歸
鬼
規
糾
叫
均
菌
極
劇
克
根
近
勤
筋
僅
謹
斤
金
今
禁
禽
錦
琴
急
級
給
及
肯
氣
記
旗
基
己
汽
期
技
器
起
機
寄
奇
紀
騎
祈
畿
其
企
旣
忌
棄
欺
飢
豈
幾
緊
吉
那
諾
暖
難
南
男
納
娘
內
耐
奈
乃
女
年
念
寧
怒
努
奴
農
腦
惱
能
泥
多
茶
短
團
壇
斷
單
檀
端
段
旦
但
丹
達
談
擔
淡
答
踏
畓
堂
當
黨
糖
唐
大
代
對
待
帶
隊
臺
貸
德
道
圖
度
到
都
島
導
徒
盜
逃
渡
桃
倒
陶
途
刀
跳
挑
塗
稻
讀
獨
毒
督
篤
敦
豚
突
東
動
同
洞
冬
童
銅
凍
頭
斗
豆
屯
鈍
得
登
等
燈
騰
羅
樂
落
絡
亂
卵
欄
蘭
覽
濫
朗
浪
廊
郞
來
冷
略
掠
良
量
兩
糧
涼
梁
諒
旅
麗
慮
勵
力
歷
曆
練
連
鍊
蓮
聯
戀
憐
列
烈
裂
劣
廉
獵
領
令
靈
嶺
零
例
禮
隷
老
路
勞
露
爐
綠
錄
祿
鹿
論
弄
賴
雷
料
僚
了
龍
漏
樓
累
淚
屢
流
類
留
柳
六
陸
輪
倫
律
率
栗
隆
陵
里
利
理
李
離
吏
履
裏
梨
隣
林
臨
立
馬
磨
麻
漠
莫
幕
萬
滿
晚
慢
漫
末
望
亡
妄
忘
茫
忙
罔
每
買
賣
妹
媒
梅
埋
脈
麥
孟
猛
盲
盟
面
勉
眠
綿
免
滅
名
命
明
鳴
銘
冥
母
毛
模
謀
貌
慕
某
暮
募
冒
侮
木
目
牧
睦
沒
蒙
夢
墓
妙
卯
廟
苗
無
務
武
舞
貿
茂
戊
霧
墨
默
門
文
問
聞
紋
物
勿
美
米
未
味
微
尾
迷
眉
民
敏
憫
密
蜜
朴
博
拍
迫
薄
泊
半
反
班
般
盤
飯
伴
叛
返
發
髮
拔
方
放
防
房
訪
妨
芳
倣
傍
邦
倍
拜
背
配
輩
培
排
杯
白
百
伯
番
繁
飜
煩
罰
伐
犯
範
凡
法
壁
碧
變
邊
辯
辨
別
病
兵
丙
竝
屛
保
步
報
寶
普
譜
補
服
福
復
伏
複
腹
卜
本
奉
鳳
封
峯
逢
蜂
父
夫
部
府
富
副
婦
否
負
覆
符
付
浮
賦
腐
附
簿
扶
赴
北
分
粉
憤
奔
奮
紛
墳
不
佛
拂
崩
朋
比
費
鼻
飛
備
非
悲
批
祕
碑
妃
婢
肥
卑
貧
賓
頻
氷
聘
四
事
社
使
死
史
士
仕
寫
思
査
寺
師
謝
舍
辭
私
絲
射
邪
沙
司
蛇
斜
詞
祀
巳
捨
斯
詐
賜
似
削
朔
山
算
産
散
殺
三
森
上
商
相
賞
常
床
想
狀
傷
象
霜
裳
桑
喪
詳
尙
像
償
祥
