level,hanja,mean,pron,hms
준3급,浪,,,물결 랑
4급,離,,,떠날 리
3급,塗,,,칠할 도
준3급,微,,,작을 미
5급,考,,,생각할 고
준3급,吏,,,벼슬아치/관리 리
3급,跳,,,뛸 도
3급,獵,,,사냥 렵
3급,埋,,,묻을 매
4급,卷,,,책 권
준4급,博,,,넓을 박
4급,勤,,,부지런할 근
준5급,旅,,,나그네 려
준6급,果,,,실과 과
준4급,警,,,깨우칠 경
4급,拍,,,칠 박
준3급,硬,,,굳을 경
3급,冥,,,어두울 명
준3급,茂,,,무성할 무
3급,枯,,,마를 고
준3급,履,,,밟을 리
준3급,謀,,,꾀 모
준6급,代,,,대신할 대
준4급,督,,,감독할 독
준5급,見,,,볼 견|뵈올 현
3급,返,,,돌이킬 반
준3급,麻,,,삼 마
준3급,途,,,길 도
3급,那,,,어찌 나
3급,邦,,,나라 방
3급,驅,,,몰 구
준3급,邪,,,간사할 사
준3급,訣,,,이별할 결
3급,棄,,,버릴 기
4급,亂,,,어지러울 란
3급,戊,,,천간 무
준4급,個,,,낱 개
4급,糧,,,양식 량
준3급,拘,,,잡을 구
4급,孤,,,외로울 고
3급,俱,,,함께 구
준3급,誇,,,자랑할 과
