level,hanja,mean,pron,hms
준3급,慣,,,익숙할 관
3급,惱,,,번뇌할 뇌
3급,朔,,,초하루 삭
준3급,耕,,,밭갈 경
준5급,局,,,판 국
3급,隷,,,종 례
4급,筋,,,힘줄 근
3급,旣,,,이미 기
3급,懼,,,두려워할 구
준3급,封,,,봉할 봉
3급,僚,,,동료 료
준3급,臺,,,대 대
준3급,鍊,,,쇠불릴/단련할 련
준3급,幹,,,줄기 간
3급,忌,,,꺼릴 기
3급,諒,,,살펴알/믿을 량
준4급,故,,,연고 고
준4급,帶,,,띠 대
준3급,恭,,,공손할 공
준3급,奴,,,종 노
준4급,難,,,어려울 난
3급,屯,,,진칠 둔
준5급,歷,,,지날 력
3급,矯,,,바로잡을 교
준5급,敬,,,공경 경
준3급,曆,,,책력 력
4급,構,,,얽을 구
준3급,腹,,,배 복
준3급,踏,,,밟을 답
준3급,閣,,,집 각
3급,卿,,,벼슬 경
준3급,睦,,,화목할 목
준3급,壞,,,무너질 괴
준3급,糖,,,엿 당
4급,妹,,,누이 매
준4급,燈,,,등 등
준3급,怪,,,괴이할 괴
준3급,久,,,오랠 구
6급,例,,,법식 례
준5급,獨,,,홀로 독
준3급,拳,,,주먹 권
4급,慮,,,생각할 려
준3급,蓋,,,덮을 개
4급,傑,,,뛰어날 걸
준6급,反,,,돌이킬/돌아올 반
4급,系,,,이어맬 계
준3급,陶,,,질그릇 도
3급,奈,,,어찌 내
4급,管,,,대롱/주관할 관
3급,斤,,,근/날 근
준3급,般,,,가지/일반 반
