加
可
佳
架
家
假
街
暇
歌
價
各
角
却
刻
脚
閣
覺
干
刊
肝
姦
看
間
幹
懇
簡
渴
甘
敢
減
感
監
鑑
甲
江
降
剛
強
康
綱
鋼
講
介
改
皆
個
開
慨
蓋
槪
客
去
巨
拒
居
距
據
擧
件
建
健
乾
乞
傑
劍
儉
檢
格
隔
激
擊
犬
見
肩
牽
堅
絹
遣
決
缺
訣
結
潔
兼
謙
更
京
庚
徑
耕
竟
頃
景
卿
硬
敬
傾
經
輕
境
慶
鏡
競
警
驚
系
戒
季
界
計
癸
契
係
桂
啓
械
階
溪
繫
繼
鷄
古
考
告
固
姑
孤
苦
枯
故
高
庫
鼓
稿
顧
曲
谷
哭
穀
困
坤
骨
工
公
孔
功
共
攻
空
供
貢
恐
恭
果
科
過
誇
寡
課
郭
官
冠
貫
慣
管
寬
館
關
觀
光
狂
廣
鑛
掛
怪
塊
愧
壞
巧
交
郊
校
敎
較
橋
矯
九
口
久
丘
句
求
究
具
狗
拘
苟
俱
球
區
救
構
舊
驅
懼
局
國
菊
君
軍
郡
群
屈
弓
宮
窮
券
卷
拳
勸
權
厥
軌
鬼
貴
龜
歸
叫
糾
規
均
菌
克
極
劇
斤
近
根
筋
僅
勤
謹
今
金
琴
禽
禁
錦
及
急
級
給
肯
己
企
汽
技
忌
其
奇
祈
紀
氣
記
豈
起
基
旣
飢
寄
期
棄
欺
幾
旗
畿
機
器
騎
緊
吉
那
諾
暖
難
男
南
納
乃
內
奈
耐
女
年
念
寧
奴
努
怒
農
惱
腦
能
泥
多
丹
旦
但
段
短
團
端
壇
檀
斷
達
淡
談
擔
畓
答
踏
唐
堂
當
糖
黨
大
代
待
帶
貸
隊
對
臺
德
刀
到
度
挑
島
桃
倒
徒
逃
陶
途
都
渡
盜
道
跳
塗
圖
稻
導
毒
督
獨
篤
讀
豚
敦
突
冬
同
東
洞
凍
動
童
銅
斗
豆
頭
屯
鈍
得
登
等
燈
騰
羅
絡
落
樂
卵
亂
欄
蘭
濫
覽
娘
浪
郞
朗
廊
來
冷
掠
略
良
兩
涼
梁
量
諒
糧
旅
慮
勵
麗
力
歷
曆
連
練
憐
蓮
鍊
聯
戀
劣
列
烈
裂
廉
獵
令
零
領
嶺
靈
例
隷
禮
老
勞
路
爐
露
鹿
祿
綠
錄
論
弄
雷
賴
了
料
僚
龍
淚
累
屢
漏
樓
柳
流
留
類
六
陸
倫
輪
律
栗
率
隆
陵
吏
里
利
李
理
梨
裏
履
離
隣
林
臨
立
馬
麻
磨
莫
漠
幕
晚
萬
慢
漫
滿
末
亡
忙
妄
忘
罔
茫
望
每
妹
埋
梅
買
媒
賣
脈
麥
孟
盲
猛
盟
免
面
勉
眠
綿
滅
名
命
明
冥
銘
鳴
毛
母
某
冒
侮
募
貌
暮
慕
模
謀
木
目
牧
睦
沒
蒙
夢
卯
妙
苗
墓
廟
戊
武
茂
務
無
貿
舞
霧
墨
默
文
門
紋
問
聞
勿
物
未
米
尾
味
美
眉
迷
微
民
敏
憫
密
蜜
朴
泊
拍
迫
博
薄
反
半
伴
返
叛
班
般
飯
盤
拔
發
髮
方
邦
妨
防
放
芳
房
倣
訪
傍
杯
拜
背
倍
配
培
排
輩
白
百
伯
番
煩
繁
飜
伐
罰
凡
犯
範
法
碧
壁
辨
邊
辯
變
別
丙
兵
病
竝
屛
步
保
補
普
報
譜
寶
卜
伏
服
復
腹
福
複
本
奉
封
峯
逢
蜂
鳳
父
夫
付
扶
否
附
府
赴
負
浮
部
符
副
婦
富
腐
賦
覆
簿
北
分
奔
紛
粉
墳
憤
奮
不
佛
拂
朋
崩
比
妃
批
肥
卑
非
飛
祕
婢
費
備
悲
碑
鼻
貧
賓
頻
氷
聘
士
巳
四
史
仕
司
死
寺
似
邪
沙
私
事
社
使
祀
舍
思
査
射
師
捨
蛇
斜
斯
詐
詞
絲
寫
賜
謝
辭
削
朔
山
産
散
算
殺
三
森
上
床
尙
狀
相
桑
商
祥
常
喪
象
詳
傷
想
嘗
裳
像
賞
霜
償
色
索
塞
生
西
序
書
恕
徐
敍
逝
庶
暑
誓
署
緖
夕
石
昔
析
席
惜
釋
仙
先
宣
船
旋
善
單
線
選
鮮
禪
舌
雪
設
說
涉
攝
成
姓
性
省
星
城
盛
聖
誠
聲
世
洗
細
稅
歲
勢
小
少
召
所
昭
消
笑
素
掃
訴
疏
蔬
燒
騷
蘇
束
俗
速
粟
屬
續
孫
損
松
送
訟
頌
誦
刷
鎖
衰
水
手
囚
守
收
秀
垂
受
首
帥
殊
修
授
須
搜
睡
遂
愁
壽
需
數
誰
樹
輸
隨
雖
獸
叔
宿
孰
淑
肅
熟
旬
巡
殉
純
脣
順
循
瞬
戌
述
術
崇
拾
習
濕
襲
昇
承
乘
勝
僧
市
示
矢
始
侍
施
是
時
視
詩
試
式
食
息
植
飾
識
申
臣
身
辛
伸
信
神
晨
新
愼
失
室
實
心
甚
深
尋
審
十
雙
氏
牙
我
兒
阿
亞
芽
雅
餓
岳
惡
安
岸
案
眼
雁
顔
謁
暗
巖
押
壓
央
仰
殃
哀
涯
愛
厄
液
額
也
夜
耶
野
約
若
弱
藥
躍
羊
洋
陽
揚
楊
養
樣
壤
讓
於
魚
御
語
漁
抑
億
憶
言
焉
嚴
業
予
汝
如
余
與
餘
輿
亦
役
易
疫
逆
域
譯
驛
延
沿
宴
軟
硏
然
鉛
煙
演
緣
燕
燃
悅
熱
閱
炎
染
鹽
葉
永
泳
迎
英
映
詠
榮
影
營
銳
豫
藝
譽
五
午
汚
吾
娛
烏
悟
嗚
傲
誤
玉
屋
獄
溫
翁
擁
瓦
臥
完
緩
曰
王
往
外
畏
要
腰
搖
遙
謠
曜
浴
辱
欲
慾
用
勇
容
庸
又
于
友
牛
尤
右
宇
羽
雨
偶
郵
愚
遇
憂
優
云
雲
運
韻
雄
元
怨
原
院
員
援
園
源
圓
遠
願
月
越
危
位
委
胃
威
偉
圍
爲
違
僞
緯
慰
衛
謂
由
幼
有
酉
油
乳
幽
柔
唯
惟
悠
猶
裕
愈
遊
維
誘
儒
遺
肉
育
閏
潤
恩
銀
隱
乙
吟
音
淫
陰
飮
邑
泣
凝
應
衣
矣
宜
依
意
義
疑
儀
醫
議
二
已
以
耳
而
夷
異
移
益
翼
人
仁
引
因
印
忍
姻
寅
認
一
日
逸
壬
任
賃
入
子
自
字
姉
者
姿
恣
玆
紫
慈
資
作
昨
酌
爵
殘
暫
潛
雜
丈
壯
長
章
莊
張
帳
將
場
粧
掌
葬
裝
腸
障
獎
墻
藏
臟
才
在
再
材
災
哉
財
宰
栽
裁
載
爭
低
抵
底
貯
著
赤
的
寂
笛
跡
賊
滴
摘
適
敵
積
績
蹟
籍
田
全
典
前
展
專
電
傳
殿
戰
錢
轉
切
折
絶
節
竊
占
店
漸
點
接
蝶
丁
井
正
廷
定
征
訂
亭
貞
政
庭
情
停
淨
頂
程
精
靜
整
弟
制
帝
除
第
祭
堤
提
齊
製
際
諸
濟
題
弔
兆
早
助
祖
租
條
組
鳥
造
朝
照
調
潮
操
燥
足
族
存
尊
卒
拙
宗
終
從
種
縱
鍾
左
佐
坐
座
罪
主
州
舟
朱
住
走
注
宙
周
柱
奏
洲
珠
株
酒
晝
週
鑄
竹
俊
準
遵
中
仲
重
衆
卽
症
曾
蒸
憎
增
贈
證
止
之
支
只
地
池
至
志
知
枝
持
指
紙
智
誌
遲
直
織
職
辰
珍
振
陣
眞
陳
進
盡
震
鎭
姪
疾
秩
質
執
集
徵
懲
且
此
次
車
茶
借
差
捉
着
錯
贊
讚
察
參
慘
慙
昌
倉
窓
唱
創
暢
蒼
彩
採
菜
債
冊
責
策
妻
處
尺
斥
刺
拓
戚
千
川
天
泉
淺
踐
賤
遷
薦
哲
徹
鐵
尖
添
妾
靑
淸
晴
請
聽
廳
逮
替
遞
滯
體
初
抄
肖
招
秒
草
超
礎
促
燭
觸
寸
村
銃
聰
總
最
催
抽
秋
追
推
醜
丑
祝
畜
逐
蓄
築
縮
春
出
充
忠
衝
蟲
吹
取
臭
就
醉
趣
側
測
層
治
致
値
恥
稚
置
齒
則
親
七
漆
沈
枕
侵
浸
針
寢
稱
快
他
打
妥
墮
托
卓
濁
濯
炭
誕
歎
彈
脫
奪
貪
探
塔
湯
太
怠
殆
泰
態
宅
澤
擇
土
吐
兔
討
通
痛
統
退
投
透
鬪
特
把
波
派
破
頗
播
罷
判
板
版
販
八
貝
敗
片
便
偏
遍
編
篇
平
評
肺
閉
幣
廢
弊
蔽
包
布
抱
胞
捕
浦
砲
飽
幅
暴
爆
表
票
漂
標
品
風
楓
豊
皮
彼
被
疲
避
匹
必
畢
筆
下
何
河
夏
荷
賀
學
鶴
汗
旱
恨
限
寒
閑
漢
韓
割
含
咸
陷
合
抗
巷
恒
航
項
港
亥
海
害
奚
該
解
核
行
幸
向
享
香
鄕
響
許
虛
軒
憲
獻
險
驗
革
玄
現
絃
賢
縣
懸
顯
穴
血
嫌
協
脅
兄
刑
形
亨
螢
衡
兮
惠
慧
互
戶
乎
好
虎
呼
胡
浩
毫
湖
號
豪
護
或
惑
昏
婚
混
魂
忽
弘
洪
紅
鴻
火
化
禾
花
和
華
貨
畫
話
禍
確
擴
穫
丸
患
換
還
環
歡
活
況
皇
荒
黃
灰
回
悔
會
懷
劃
獲
橫
孝
效
曉
後
侯
厚
候
訓
毁
揮
輝
休
携
凶
胸
黑
吸
興
希
稀
喜
戲
