hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
御,거느릴 어,彳,12획,준3급,3ii,어
語,말씀 어,言,14획,7급,7__,어
漁,고기잡을 어,水,14획,5급,5__,어
於,어조사 어|탄식할 오,方,8획,3급,3__,어
億,억 억,人,15획,5급,5__,억
憶,생각할 억,心,16획,준3급,3ii,억
抑,누를 억,手,7획,준3급,3ii,억
焉,어찌 언,火,11획,3급,3__,언
言,말씀 언,言,7획,6급,6__,언
嚴,엄할 엄,口,20획,4급,4__,엄
業,업 업,木,13획,준6급,6ii,업
與,더불/줄 여,臼,14획,4급,4__,여
餘,남을 여,食,16획,준4급,4ii,여
輿,수레 여,車,17획,3급,3__,여
予,나/줄 여|미리 예,亅,4획,3급,3__,여
汝,너 여,水,6획,3급,3__,여
