hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
蒙,어두울 몽,艸,14획,준3급,3ii,몽
夢,꿈 몽,夕,14획,준3급,3ii,몽
墓,무덤 묘,土,14획,4급,4__,묘
廟,사당 묘,广,15획,3급,3__,묘
卯,토끼 묘,卩,5획,3급,3__,묘
妙,묘할 묘,女,7획,4급,4__,묘
苗,모 묘,艸,9획,3급,3__,묘
務,힘쓸 무,力,11획,준4급,4ii,무
無,없을 무,火,12획,5급,5__,무
貿,무역할 무,貝,12획,준3급,3ii,무
舞,춤출 무,舛,14획,4급,4__,무
霧,안개 무,雨,19획,3급,3__,무
戊,천간 무,戈,5획,3급,3__,무
武,호반 무,止,8획,준4급,4ii,무
茂,무성할 무,艸,9획,준3급,3ii,무
墨,먹 묵,土,15획,준3급,3ii,묵
默,잠잠할 묵,黑,16획,준3급,3ii,묵
紋,무늬 문,糸,10획,준3급,3ii,문
問,물을 문,口,11획,7급,7__,문
聞,들을 문,耳,14획,준6급,6ii,문
文,글월 문,文,4획,7급,7__,문
門,문 문,門,8획,8급,8__,문
勿,말 물,勹,4획,준3급,3ii,물
物,물건 물,牛,8획,준7급,7ii,물
迷,미혹할 미,辵,10획,3급,3__,미
微,작을 미,彳,13획,준3급,3ii,미
未,아닐 미,木,5획,준4급,4ii,미
米,쌀 미,米,6획,6급,6__,미
尾,꼬리 미,尸,7획,준3급,3ii,미
味,맛 미,口,8획,준4급,4ii,미
美,아름다울 미,羊,9획,6급,6__,미
眉,눈썹 미,目,9획,3급,3__,미
敏,민첩할 민,攴,11획,3급,3__,민
憫,민망할 민,心,15획,3급,3__,민
民,백성 민,氏,5획,8급,8__,민
密,빽빽할 밀,宀,11획,준4급,4ii,밀
蜜,꿀 밀,虫,14획,3급,3__,밀
博,넓을 박,十,12획,준4급,4ii,박
薄,엷을 박,艸,17획,준3급,3ii,박
朴,성 박,木,6획,6급,6__,박
泊,머무를/배댈 박,水,8획,3급,3__,박
拍,칠 박,手,8획,4급,4__,박
迫,핍박할 박,辵,9획,준3급,3ii,박
班,나눌 반,玉,10획,준6급,6ii,반
般,가지/일반 반,舟,10획,준3급,3ii,반
飯,밥 반,食,13획,준3급,3ii,반
盤,소반 반,皿,15획,준3급,3ii,반
反,돌이킬/돌아올 반,又,4획,준6급,6ii,반
半,반 반,十,5획,준6급,6ii,반
伴,짝 반,人,7획,3급,3__,반
返,돌이킬 반,辵,8획,3급,3__,반
叛,배반할 반,又,9획,3급,3__,반
發,필 발,癶,12획,준6급,6ii,발
髮,머리카락 발,髟,15획,4급,4__,발
拔,뽑을 발,手,8획,준3급,3ii,발
倣,본뜰 방,人,10획,3급,3__,방
訪,찾을 방,言,11획,준4급,4ii,방
傍,곁 방,人,12획,3급,3__,방
方,모 방,方,4획,준7급,7ii,방
邦,나라 방,邑,7획,3급,3__,방
妨,방해할 방,女,7획,4급,4__,방
防,막을 방,阜,7획,준4급,4ii,방
放,놓을 방,攴,8획,준6급,6ii,방
芳,꽃다울 방,艸,8획,준3급,3ii,방
房,방 방,戶,8획,준4급,4ii,방
倍,곱 배,人,10획,5급,5__,배
配,나눌/짝 배,酉,10획,준4급,4ii,배
培,북돋울 배,土,11획,준3급,3ii,배
排,밀칠 배,手,11획,준3급,3ii,배
輩,무리 배,車,15획,준3급,3ii,배
杯,잔 배,木,8획,3급,3__,배
拜,절 배,手,9획,준4급,4ii,배
背,등 배,肉,9획,준4급,4ii,배
白,흰 백,白,5획,8급,8__,백
百,일백 백,白,6획,7급,7__,백
伯,맏 백,人,7획,준3급,3ii,백
番,차례 번,田,12획,6급,6__,번
煩,번거로울 번,火,13획,3급,3__,번
繁,번성할 번,糸,17획,준3급,3ii,번
