hanja,kor,link
林,수풀 림,https://namu.wiki/w/%E6%9E%97
面,낯 면:,https://namu.wiki/w/%E9%9D%A2
命,목숨 명:,https://namu.wiki/w/%E5%91%BD
文,글월 문,https://namu.wiki/w/%E6%96%87
問,물을 문:,https://namu.wiki/w/%E5%95%8F
百,일백 백,https://namu.wiki/w/%E7%99%BE
夫,지아비 부,https://namu.wiki/w/%E5%A4%AB
算,셈 산:,https://namu.wiki/w/%E7%AE%97
色,빛 색,https://namu.wiki/w/%E8%89%B2
夕,저녁 석,https://namu.wiki/w/%E5%A4%95
少,적을 소:,https://namu.wiki/w/%E5%B0%91
所,바 소:,https://namu.wiki/w/%E6%89%80
數,셈 수:[15],https://namu.wiki/w/%E6%95%B8
植,심을 식,https://namu.wiki/w/%E6%A4%8D
心,마음 심,https://namu.wiki/w/%E5%BF%83
語,말씀 어:,https://namu.wiki/w/%E8%AA%9E
然,그럴 연,https://namu.wiki/w/%E7%84%B6
有,있을 유:,https://namu.wiki/w/%E6%9C%89
育,기를 육,https://namu.wiki/w/%E8%82%B2
邑,고을 읍,https://namu.wiki/w/%E9%82%91
入,들 입,https://namu.wiki/w/%E5%85%A5
字,글자 자,https://namu.wiki/w/%E5%AD%97
祖,할아비 조,https://namu.wiki/w/%E7%A5%96
住,살 주:,https://namu.wiki/w/%E4%BD%8F
主,임금/주인 주,https://namu.wiki/w/%E4%B8%BB
重,무거울 중:,https://namu.wiki/w/%E9%87%8D
紙,종이 지,https://namu.wiki/w/%E7%B4%99
地,땅 지,https://namu.wiki/w/%E5%9C%B0
千,일천 천,https://namu.wiki/w/%E5%8D%83
天,하늘 천,https://namu.wiki/w/%E5%A4%A9
川,내 천,https://namu.wiki/w/%E5%B7%9D
草,풀 초,https://namu.wiki/w/%E8%8D%89
村,마을 촌:,https://namu.wiki/w/%E6%9D%91
秋,가을 추,https://namu.wiki/w/%E7%A7%8B
春,봄 춘,https://namu.wiki/w/%E6%98%A5
出,날 출,https://namu.wiki/w/%E5%87%BA
便,편할 편(:) | 똥오줌 변[16],https://namu.wiki/w/%E4%BE%BF
夏,여름 하:,https://namu.wiki/w/%E5%A4%8F
花,꽃 화,https://namu.wiki/w/%E8%8A%B1
休,쉴 휴,https://namu.wiki/w/%E4%BC%91
各,각각 각,https://namu.wiki/w/%E5%90%84
角,뿔 각,https://namu.wiki/w/%E8%A7%92
界,지경 계:,https://namu.wiki/w/%E7%95%8C
計,셀 계:,https://namu.wiki/w/%E8%A8%88
高,높을 고,https://namu.wiki/w/%E9%AB%98
公,공평할 공,https://namu.wiki/w/%E5%85%AC
共,한가지 공:,https://namu.wiki/w/%E5%85%B1
功,공 공,https://namu.wiki/w/%E5%8A%9F
果,실과 과:,https://namu.wiki/w/%E6%9E%9C
科,과목 과,https://namu.wiki/w/%E7%A7%91
光,빛 광,https://namu.wiki/w/%E5%85%89
球,공 구,https://namu.wiki/w/%E7%90%83
今,이제 금,https://namu.wiki/w/%E4%BB%8A
急,급할 급,https://namu.wiki/w/%E6%80%A5
短,짧을 단(:)[17],https://namu.wiki/w/%E7%9F%AD
堂,집 당,https://namu.wiki/w/%E5%A0%82
代,대신할 대:,https://namu.wiki/w/%E4%BB%A3
對,대할 대:,https://namu.wiki/w/%E5%B0%8D
圖,그림 도,https://namu.wiki/w/%E5%9C%96
讀,읽을 독 | 구절 두,https://namu.wiki/w/%E8%AE%80
童,아이 동(:)[18],https://namu.wiki/w/%E7%AB%A5
等,무리 등:,https://namu.wiki/w/%E7%AD%89
樂,즐길 락 | 노래 악 | 좋아할 요,https://namu.wiki/w/%E6%A8%82
利,이할 리:,https://namu.wiki/w/%E5%88%A9
理,다스릴 리:,https://namu.wiki/w/%E7%90%86
明,밝을 명,https://namu.wiki/w/%E6%98%8E
聞,들을 문(:)[19],https://namu.wiki/w/%E8%81%9E
半,반 반:,https://namu.wiki/w/%E5%8D%8A
反,돌이킬/돌아올 반:,https://namu.wiki/w/%E5%8F%8D
班,나눌 반,https://namu.wiki/w/%E7%8F%AD
發,필 발,https://namu.wiki/w/%E7%99%BC
放,놓을 방(:)[20],https://namu.wiki/w/%E6%94%BE
部,떼 부,https://namu.wiki/w/%E9%83%A8
分,나눌 분(:)[21],https://namu.wiki/w/%E5%88%86
社,모일 사,https://namu.wiki/w/%E7%A4%BE
書,글 서,https://namu.wiki/w/%E6%9B%B8
線,줄 선,https://namu.wiki/w/%E7%B7%9A
雪,눈 설,https://namu.wiki/w/%E9%9B%AA
成,이룰 성,https://namu.wiki/w/%E6%88%90
省,살필 성 | 덜 생,https://namu.wiki/w/%E7%9C%81
消,사라질 소,https://namu.wiki/w/%E6%B6%88
術,재주 술,https://namu.wiki/w/%E8%A1%93
始,비로소 시,https://namu.wiki/w/%E5%A7%8B
身,몸 신,https://namu.wiki/w/%E8%BA%AB
神,귀신 신,https://namu.wiki/w/%E7%A5%9E
信,믿을 신:,https://namu.wiki/w/%E4%BF%A1
新,새 신,https://namu.wiki/w/%E6%96%B0
弱,약할 약,https://namu.wiki/w/%E5%BC%B1
藥,약 약,https://namu.wiki/w/%E8%97%A5
業,업 업,https://namu.wiki/w/%E6%A5%AD
