level,hanja,rep_h,rep_m,hms(>1)
7ii,家,집,가,['집 가']
7,歌,노래,가,['노래 가']
5ii,價,값,가,['값 가']
5,加,더할,가,['더할 가']
5,可,옳을,가,['옳을 가']
4ii,假,거짓,가,['거짓 가']
4ii,街,거리,가,['거리 가']
4,暇,틈/겨를,가,['틈/겨를 가']
3ii,佳,아름다울,가,['아름다울 가']
3ii,架,시렁,가,['시렁 가']
6ii,各,각각,각,['각각 각']
6ii,角,뿔,각,['뿔 각']
4,刻,새길,각,['새길 각']
4,覺,깨달을,각,['깨달을 각']
3ii,脚,다리,각,['다리 각']
3ii,閣,집,각,['집 각']
3,却,물리칠,각,['물리칠 각']
7ii,間,사이,간,['사이 간']
4,簡,대쪽/간략할,간,['대쪽/간략할 간']
4,看,볼,간,['볼 간']
4,干,방패,간,['방패 간']
3ii,刊,새길,간,['새길 간']
3ii,幹,줄기,간,['줄기 간']
3ii,懇,간절할,간,['간절할 간']
3ii,肝,간,간,['간 간']
3,姦,간음할,간,['간음할 간']
3,渴,목마를,갈,['목마를 갈']
6,感,느낄,감,['느낄 감']
4ii,減,덜,감,['덜 감']
4ii,監,볼,감,['볼 감']
4,甘,달,감,['달 감']
4,敢,감히/구태여,감,['감히/구태여 감']
3ii,鑑,거울,감,['거울 감']
4,甲,갑옷,갑,['갑옷 갑']
7ii,江,강,강,['강 강']
6,強,강할,강,['강할 강']
4ii,講,욀,강,['욀 강']
4ii,康,편안,강,['편안 강']
4,降,내릴,강,"['내릴 강', '항복할 항']"
3ii,剛,굳셀,강,['굳셀 강']
3ii,綱,벼리,강,['벼리 강']
3ii,鋼,강철,강,['강철 강']
6,開,열,개,['열 개']
5,改,고칠,개,['고칠 개']
4ii,個,낱,개,['낱 개']
3ii,槪,대개,개,['대개 개']
3ii,介,낄,개,['낄 개']
3ii,蓋,덮을,개,['덮을 개']
3,皆,다,개,['다 개']
3,慨,슬퍼할,개,['슬퍼할 개']
5ii,客,손,객,['손 객']
7ii,車,수레,거,"['수레 거', '수레 차']"
5,擧,들,거,['들 거']
5,去,갈,거,['갈 거']
4,拒,막을,거,['막을 거']
4,居,살,거,['살 거']
4,據,근거,거,['근거 거']
4,巨,클,거,['클 거']
3ii,距,상거할,거,['상거할 거']
5,件,물건,건,['물건 건']
5,建,세울,건,['세울 건']
5,健,굳셀,건,['굳셀 건']
3ii,乾,하늘/마를,건,['하늘/마를 건']
4,傑,뛰어날,걸,['뛰어날 걸']
3,乞,빌,걸,['빌 걸']
4ii,檢,검사할,검,['검사할 검']
4,儉,검소할,검,['검소할 검']
3ii,劍,칼,검,['칼 검']
5ii,格,격식,격,['격식 격']
4,擊,칠,격,['칠 격']
4,激,격할,격,['격할 격']
3ii,隔,사이뜰,격,['사이뜰 격']
5ii,見,볼,견,"['볼 견', '뵈올 현']"
4,堅,굳을,견,['굳을 견']
4,犬,개,견,['개 견']
3,遣,보낼,견,['보낼 견']
3,肩,어깨,견,['어깨 견']
3,絹,비단,견,['비단 견']
3,牽,이끌/끌,견,['이끌/끌 견']
5ii,結,맺을,결,['맺을 결']
5ii,決,결단할,결,['결단할 결']
4ii,潔,깨끗할,결,['깨끗할 결']
4ii,缺,이지러질,결,['이지러질 결']
3ii,訣,이별할,결,['이별할 결']
3ii,兼,겸할,겸,['겸할 겸']
3ii,謙,겸손할,겸,['겸손할 겸']
6,京,서울,경,['서울 경']
5ii,敬,공경,경,['공경 경']
5,輕,가벼울,경,['가벼울 경']
5,競,다툴,경,['다툴 경']
5,景,볕,경,['볕 경']
4ii,境,지경,경,['지경 경']
4ii,經,지날/글,경,['지날/글 경']
4ii,警,깨우칠,경,['깨우칠 경']
4ii,慶,경사,경,['경사 경']
4,驚,놀랄,경,['놀랄 경']
4,更,고칠,경,"['고칠 경', '다시 갱']"
4,傾,기울,경,['기울 경']
4,鏡,거울,경,['거울 경']
3ii,頃,이랑/잠깐,경,['이랑/잠깐 경']
3ii,徑,지름길/길,경,['지름길/길 경']
3ii,硬,굳을,경,['굳을 경']
3ii,耕,밭갈,경,['밭갈 경']
3,卿,벼슬,경,['벼슬 경']
3,庚,별,경,['별 경']
3,竟,마침내,경,['마침내 경']
6ii,界,지경,계,['지경 계']
6ii,計,셀,계,['셀 계']
4ii,係,맬,계,['맬 계']
4,階,섬돌,계,['섬돌 계']
4,鷄,닭,계,['닭 계']
4,季,계절,계,['계절 계']
4,系,이어맬,계,['이어맬 계']
4,繼,이을,계,['이을 계']
4,戒,경계할,계,['경계할 계']
3ii,契,맺을,계,['맺을 계']
3ii,桂,계수나무,계,['계수나무 계']
3ii,啓,열,계,['열 계']
3ii,溪,시내,계,['시내 계']
3ii,械,기계,계,['기계 계']
3,繫,맬,계,['맬 계']
3,癸,북방/천간,계,['북방/천간 계']
6ii,高,높을,고,['높을 고']
6,古,예,고,['예 고']
6,苦,쓸,고,['쓸 고']
5ii,告,고할,고,['고할 고']
5,考,생각할,고,['생각할 고']
5,固,굳을,고,['굳을 고']
4ii,故,연고,고,['연고 고']
4,孤,외로울,고,['외로울 고']
4,庫,곳집,고,['곳집 고']
3ii,姑,시어미,고,['시어미 고']
3ii,稿,원고/볏짚,고,['원고/볏짚 고']
3ii,鼓,북,고,['북 고']
3,顧,돌아볼,고,['돌아볼 고']
3,枯,마를,고,['마를 고']
5,曲,굽을,곡,['굽을 곡']
4,穀,곡식,곡,['곡식 곡']
3ii,哭,울,곡,['울 곡']
3ii,谷,골,곡,['골 곡']
4,困,곤할,곤,['곤할 곤']
3,坤,땅,곤,['땅 곤']
4,骨,뼈,골,['뼈 골']
7ii,工,장인,공,['장인 공']
7ii,空,빌,공,['빌 공']
6ii,公,공평할,공,['공평할 공']
6ii,共,한가지,공,['한가지 공']
6ii,功,공,공,['공 공']
4,孔,구멍,공,['구멍 공']
4,攻,칠,공,['칠 공']
3ii,貢,바칠,공,['바칠 공']
3ii,供,이바지할,공,['이바지할 공']
3ii,恐,두려울,공,['두려울 공']
3ii,恭,공손할,공,['공손할 공']
6ii,果,실과,과,['실과 과']
6ii,科,과목,과,['과목 과']
5ii,課,공부할/과정,과,['공부할/과정 과']
5ii,過,지날,과,['지날 과']
3ii,誇,자랑할,과,['자랑할 과']
3ii,寡,적을,과,['적을 과']
3,郭,둘레/외성,곽,['둘레/외성 곽']
5ii,觀,볼,관,['볼 관']
5ii,關,관계할,관,['관계할 관']
4ii,官,벼슬,관,['벼슬 관']
4,管,대롱/주관할,관,['대롱/주관할 관']
3ii,寬,너그러울,관,['너그러울 관']
3ii,貫,꿸,관,['꿸 관']
3ii,館,집,관,['집 관']
3ii,慣,익숙할,관,['익숙할 관']
3ii,冠,갓,관,['갓 관']
6ii,光,빛,광,['빛 광']
5ii,廣,넓을,광,['넓을 광']
4,鑛,쇳돌,광,['쇳돌 광']
3ii,狂,미칠,광,['미칠 광']
3,掛,걸,괘,['걸 괘']
3ii,壞,무너질,괴,['무너질 괴']
3ii,怪,괴이할,괴,['괴이할 괴']
3,塊,흙덩이,괴,['흙덩이 괴']
3,愧,부끄러울,괴,['부끄러울 괴']
8,校,학교,교,['학교 교']
8,敎,가르칠,교,['가르칠 교']
6,交,사귈,교,['사귈 교']
5,橋,다리,교,['다리 교']
3ii,巧,공교할,교,['공교할 교']
3ii,較,견줄/비교할,교,['견줄/비교할 교']
3,郊,들,교,['들 교']
3,矯,바로잡을,교,['바로잡을 교']
8,九,아홉,구,['아홉 구']
7,口,입,구,['입 구']
6ii,球,공,구,['공 구']
6,區,구분할/지경,구,['구분할/지경 구']
5ii,具,갖출,구,['갖출 구']
5ii,舊,예,구,['예 구']
