5,倍,곱 배(:)
5,比,견줄 비:
5,費,쓸 비:
5,鼻,코 비:
5,氷,얼음 빙
5,寫,베낄 사
5,思,생각 사(:)
5,査,조사할 사
5,賞,상줄 상
5,序,차례 서:
5,善,착할 선:
5,選,가릴 선:
5,船,배 선
5,示,보일 시:
5,案,책상 안:
5,漁,고기잡을 어
5,魚,고기/물고기 어
5,億,억 억
5,熱,더울 열
5,葉,잎 엽
5,屋,집 옥
5,完,완전할 완
5,曜,빛날 요:
5,浴,목욕할 욕
5,牛,소 우
5,雄,수컷 웅
5,原,언덕 원
5,院,집 원
5,願,원할 원:
5,位,자리 위
5,耳,귀 이:
5,因,인할 인
5,災,재앙 재
5,再,두 재:
5,爭,다툴 쟁
5,貯,쌓을 저:
5,赤,붉을 적
5,停,머물 정
5,操,잡을 조(:)
5,終,마칠 종
5,罪,허물 죄:
5,止,그칠 지
5,唱,부를 창:
5,鐵,쇠 철
5,初,처음 초
5,最,가장 최:
5,祝,빌 축
5,致,이를 치:
5,則,법칙 칙
5,他,다를 타
5,打,칠 타:
5,卓,높을 탁
5,炭,숯 탄:
5,板,널 판
5,敗,패할 패:
5,河,물 하
5,寒,찰 한
5,許,허락할 허
5,湖,호수 호
5,患,근심 환:
5,黑,검을 흑
4ii,假,거짓 가:
4ii,街,거리 가(:)
4ii,減,덜 감:
4ii,監,볼 감
4ii,講,욀 강:
4ii,康,편안 강
4ii,個,낱 개(:)
4ii,檢,검사할 검:
4ii,潔,깨끗할 결
4ii,缺,이지러질 결
4ii,境,지경 경
4ii,經,지날/글 경
4ii,警,깨우칠 경:
4ii,慶,경사 경:
4ii,係,맬 계:
4ii,故,연고 고(:)
4ii,官,벼슬 관
4ii,求,구할 구
4ii,句,글귀 구
4ii,究,연구할 구
4ii,宮,집 궁
4ii,權,권세 권
4ii,極,다할/극진할 극
4ii,禁,금할 금:
4ii,器,그릇 기
4ii,起,일어날 기
4,暇,틈/겨를 가:
4,刻,새길 각
4,覺,깨달을 각
4,簡,대쪽/간략할 간(:)
4,看,볼 간
4,干,방패 간
4,甘,달 감
4,敢,감히/구태여 감:
4,甲,갑옷 갑
4,降,내릴 강: | 항복할 항
4,拒,막을 거:
4,居,살 거
4,據,근거 거:
4,巨,클 거:
4,傑,뛰어날 걸
4,儉,검소할 검:
4,擊,칠 격
4,激,격할 격
4,堅,굳을 견
4,犬,개 견
4,驚,놀랄 경
4,更,고칠 경 | 다시 갱:
4,傾,기울 경
4,鏡,거울 경:
4,階,섬돌 계
4,鷄,닭 계
4,季,계절 계:
4,系,이어맬 계:
4,繼,이을 계:
4,戒,경계할 계:
4,孤,외로울 고
4,庫,곳집 고
4,穀,곡식 곡
4,困,곤할 곤:
4,骨,뼈 골
4,孔,구멍 공:
4,攻,칠 공:
4,管,대롱/주관할 관
4,鑛,쇳돌 광:
4,構,얽을 구
4,君,임금 군
4,群,무리 군
4,屈,굽힐 굴
4,窮,다할/궁할 궁
4,券,문서 권
4,勸,권할 권:
4,卷,책 권(:)
4,歸,돌아갈 귀:
4,均,고를 균
4,劇,심할 극
4,勤,부지런할 근:
4,筋,힘줄 근
4,機,틀 기
4,寄,부칠 기
4,奇,기특할 기
4,紀,벼리 기
3ii,佳,아름다울 가:
3ii,架,시렁 가:
3ii,脚,다리 각
3ii,閣,집 각
3ii,刊,새길 간
3ii,幹,줄기 간
3ii,懇,간절할 간:
3ii,肝,간 간(:)[1]
3ii,鑑,거울 감
3ii,剛,굳셀 강
3ii,綱,벼리 강
3ii,鋼,강철 강
3ii,槪,대개 개:
3ii,介,낄 개:
3ii,蓋,덮을 개(:)[2]
3ii,距,상거할 거:
3ii,乾,하늘/마를 건
3ii,劍,칼 검:
3ii,隔,사이 뜰 격
3ii,訣,이별할 결
3ii,兼,겸할 겸
3ii,謙,겸손할 겸
3ii,頃,이랑/잠깐 경
3ii,徑,지름길/길 경
3ii,硬,굳을 경
3ii,耕,밭갈 경
3ii,契,맺을 계(:)[3]
3ii,桂,계수나무 계:
3ii,啓,열 계:
3ii,溪,시내 계
3ii,械,기계 계:
3ii,姑,시어미 고
3ii,稿,원고/볏짚 고
3ii,鼓,북 고
3ii,哭,울 곡
3ii,谷,골 곡
3ii,貢,바칠 공:
3ii,供,이바지할 공:
3ii,恐,두려울 공(:)[4]
3ii,恭,공손할 공
3ii,誇,자랑할 과:
3ii,寡,적을 과:
3ii,寬,너그러울 관
3ii,貫,꿸 관(:)[5]
3ii,館,집 관
3ii,慣,익숙할 관
3ii,冠,갓 관
3ii,狂,미칠 광
3ii,壞,무너질 괴:
3ii,怪,괴이할 괴(:)[6]
3ii,巧,공교할 교
3ii,較,견줄/비교할 교
3ii,久,오랠 구:
3ii,拘,잡을 구
3ii,丘,언덕 구
3ii,菊,국화 국
3ii,弓,활 궁
3ii,拳,주먹 권:
3ii,鬼,귀신 귀:
3ii,菌,버섯 균
3ii,克,이길 극
3ii,禽,새 금
3ii,錦,비단 금:
3ii,琴,거문고 금
3ii,及,미칠 급
3ii,騎,말탈 기
3ii,祈,빌 기
3ii,畿,경기 기
3ii,其,그 기
3ii,企,꾀할 기
3ii,緊,긴할 긴
3,却,물리칠 각
3,姦,간음할 간:
3,渴,목마를 갈
3,皆,다 개
3,慨,슬퍼할 개:
3,乞,빌 걸
3,遣,보낼 견:
3,肩,어깨 견
3,絹,비단 견
3,牽,이끌/끌 견
3,卿,벼슬 경
3,庚,별 경
3,竟,마침내 경:
3,繫,맬 계:
3,癸,북방/천간 계:
3,顧,돌아볼 고
3,枯,마를 고
3,坤,땅 곤
3,郭,둘레/외성 곽
3,掛,걸 괘
3,塊,흙덩이 괴
3,愧,부끄러울 괴:
3,郊,들 교
3,矯,바로잡을 교:
3,俱,함께 구
3,龜,거북 구 | 거북 귀 | 터질 균
3,驅,몰 구
3,苟,진실로/구차할 구
3,懼,두려워할 구
3,狗,개 구
3,厥,그 궐
3,軌,바퀴자국 궤:
3,糾,얽을 규
3,叫,부르짖을 규
3,僅,겨우 근:
3,謹,삼갈 근:
3,斤,근/날 근
3,肯,즐길 긍:
3,旣,이미 기
3,忌,꺼릴 기
3,棄,버릴 기
3,欺,속일 기
3,飢,주릴 기
3,豈,어찌 기
3,幾,몇 기
