hanja,kor,radical,total_num_of_strokes,level
來,올 래,人,8획,7급
老,늙을 로,老,6획,7급
里,마을 리,里,7획,7급
林,수풀 림,木,8획,7급
面,낯 면,面,9획,7급
命,목숨 명,口,8획,7급
文,글월 문,文,4획,7급
問,물을 문,口,11획,7급
百,일백 백,白,6획,7급
夫,지아비 부,大,4획,7급
算,셈 산,竹,14획,7급
色,빛 색,色,6획,7급
夕,저녁 석,夕,3획,7급
少,적을 소,小,4획,7급
所,바 소,戶,8획,7급
數,셈 수,攴,15획,7급
植,심을 식,木,12획,7급
心,마음 심,心,4획,7급
語,말씀 어,言,14획,7급
然,그럴 연,火,12획,7급
有,있을 유,月,6획,7급
育,기를 육,肉,8획,7급
邑,고을 읍,邑,7획,7급
入,들 입,入,2획,7급
字,글자 자,子,6획,7급
祖,할아비 조,示,10획,7급
住,살 주,人,7획,7급
主,임금/주인 주,丶,5획,7급
重,무거울 중,里,9획,7급
紙,종이 지,糸,10획,7급
地,땅 지,土,6획,7급
千,일천 천,十,3획,7급
天,하늘 천,大,4획,7급
川,내 천,巛,3획,7급
草,풀 초,艸,10획,7급
村,마을 촌,木,7획,7급
秋,가을 추,禾,9획,7급
春,봄 춘,日,9획,7급
出,날 출,凵,5획,7급
便,"편할 편, 똥오줌 변",人,9획,7급
夏,여름 하,夊,10획,7급
花,꽃 화,艸,8획,7급
休,쉴 휴,人,6획,7급
各,각각 각,口,6획,준6급
角,뿔 각,角,7획,준6급
界,지경 계,田,9획,준6급
計,셀 계,言,9획,준6급
高,높을 고,高,10획,준6급
公,공평할 공,八,4획,준6급
共,한가지 공,八,6획,준6급
功,공 공,力,5획,준6급
果,실과 과,木,8획,준6급
科,과목 과,禾,9획,준6급
光,빛 광,儿,6획,준6급
球,공 구,玉,11획,준6급
今,이제 금,人,4획,준6급
急,급할 급,心,9획,준6급
短,짧을 단,矢,12획,준6급
堂,집 당,土,11획,준6급
代,대신할 대,人,5획,준6급
對,대할 대,寸,14획,준6급
圖,그림 도,囗,14획,준6급
讀,"읽을 독, 구절 두",言,22획,준6급
童,아이 동,立,12획,준6급
等,무리 등,竹,12획,준6급
樂,"즐길 락, 노래 악, 좋아할 요",木,15획,준6급
利,이할 리,刀,7획,준6급
理,다스릴 리,玉,11획,준6급
明,밝을 명,日,8획,준6급
聞,들을 문,耳,14획,준6급
半,반 반,十,5획,준6급
反,돌이킬/돌아올 반,又,4획,준6급
班,나눌 반,玉,10획,준6급
發,필 발,癶,12획,준6급
放,놓을 방,攴,8획,준6급
部,떼 부,邑,11획,준6급
分,나눌 분,刀,4획,준6급
社,모일 사,示,8획,준6급
書,글 서,曰,10획,준6급
線,줄 선,糸,15획,준6급
雪,눈 설,雨,11획,준6급
成,이룰 성,戈,7획,준6급
省,"살필 성, 덜 생",目,9획,준6급
消,사라질 소,水,10획,준6급
術,재주 술,行,11획,준6급
始,비로소 시,女,8획,준6급
身,몸 신,身,7획,준6급
神,귀신 신,示,10획,준6급
信,믿을 신,人,9획,준6급
新,새로울 신,斤,13획,준6급
弱,약할 약,弓,10획,준6급
藥,약 약,艸,19획,준6급
業,업 업,木,13획,준6급
勇,날랠 용,力,9획,준6급
用,쓸 용,用,5획,준6급
運,옮길 운,辵,13획,준6급
音,소리 음,音,9획,준6급
飮,마실 음,食,13획,준6급
意,뜻 의,心,13획,준6급
作,지을 작,人,7획,준6급
昨,어제 작,日,9획,준6급
才,재주 재,手,3획,준6급
戰,싸움 전,戈,16획,준6급
庭,뜰 정,广,10획,준6급
第,차례 제,竹,11획,준6급
題,제목 제,頁,18획,준6급
注,부을 주,水,8획,준6급
集,모을 집,隹,12획,준6급
窓,창 창,穴,11획,준6급
淸,맑을 청,水,11획,준6급
體,몸 체,骨,23획,준6급
表,겉 표,衣,8획,준6급
風,바람 풍,風,9획,준6급
幸,다행 행,干,8획,준6급
現,나타날 현,玉,11획,준6급
形,모양 형,彡,7획,준6급
和,화할 화,口,8획,준6급
會,모일 회,曰,13획,준6급
感,느낄 감,心,13획,6급
強,강할 강,弓,11획,6급
開,열 개,門,12획,6급
京,서울 경,亠,8획,6급
古,옛 고,口,5획,6급
苦,쓸 고,艸,9획,6급
交,사귈 교,亠,6획,6급
區,구분할/지경 구,匸,11획,6급
郡,고을 군,邑,10획,6급
根,뿌리 근,木,10획,6급
近,가까울 근,辵,8획,6급
級,등급 급,糸,10획,6급
多,많을 다,夕,6획,6급
待,기다릴 대,彳,9획,6급
度,"법도 도, 헤아릴 탁",广,9획,6급
頭,머리 두,頁,16획,6급
例,법식 례,人,8획,6급
禮,예도 례,示,18획,6급
路,길 로,足,13획,6급
綠,푸를 록,糸,14획,6급
李,오얏/성 리,木,7획,6급
目,눈 목,目,5획,6급
美,아름다울 미,羊,9획,6급
米,쌀 미,米,6획,6급
朴,성 박,木,6획,6급
番,차례 번,田,12획,6급
別,다를/나눌 별,刀,7획,6급
病,병 병,疒,10획,6급
服,옷 복,月,8획,6급
本,근본 본,木,5획,6급
使,하여금/부릴 사,人,8획,6급
死,죽을 사,歹,6획,6급
席,자리 석,巾,10획,6급
石,돌 석,石,5획,6급
速,빠를 속,辵,11획,6급
孫,손자 손,子,10획,6급
樹,나무 수,木,16획,6급
習,익힐 습,羽,11획,6급
勝,이길 승,力,12획,6급
式,법 식,弋,6획,6급
失,잃을 실,大,5획,6급
愛,사랑 애,心,13획,6급
夜,밤 야,夕,8획,6급
野,들 야,里,11획,6급
陽,볕 양,阜,12획,6급
洋,큰바다 양,水,9획,6급
言,말씀 언,言,7획,6급
英,꽃부리 영,艸,9획,6급
永,길 영,水,5획,6급
溫,따뜻할/뜨거울 온,水,13획,6급
園,동산 원,囗,13획,6급
遠,멀 원,辵,14획,6급
由,말미암을 유,田,5획,6급
油,기름 유,水,8획,6급
銀,은 은,金,14획,6급
醫,의원 의,酉,18획,6급
衣,옷 의,衣,6획,6급
者,놈 자,老,9획,6급
章,글 장,立,11획,6급
在,있을 재,土,6획,6급
定,정할 정,宀,8획,6급
朝,아침 조,月,12획,6급
族,겨레 족,方,11획,6급
晝,낮 주,日,11획,6급
親,친할 친,見,16획,6급
太,클 태,大,4획,6급
通,통할 통,辵,11획,6급
特,특별할 특,牛,10획,6급
合,합할 합,口,6획,6급
行,"다닐 행, 항렬 항",行,6획,6급
向,향할 향,口,6획,6급
號,이름 호,虍,13획,6급
畫,"그림 화, 그을 획",田,12획,6급
黃,누를 황,黃,12획,6급
訓,가르칠 훈,言,10획,6급
價,값 가,人,15획,준5급
客,손 객,宀,9획,준5급
格,격식 격,木,10획,준5급
見,"볼 견, 뵈올 현",見,7획,준5급
結,맺을 결,糸,12획,준5급
決,결단할 결,水,7획,준5급
敬,공경 경,攴,13획,준5급
告,고할 고,口,7획,준5급
課,공부할/과정 과,言,15획,준5급
過,지날 과,辵,13획,준5급
觀,볼 관,見,25획,준5급
關,관계할 관,門,19획,준5급
廣,넓을 광,广,15획,준5급
具,갖출 구,八,8획,준5급
舊,예 구,臼,18획,준5급
局,판 국,尸,7획,준5급
基,터 기,土,11획,준5급
己,몸 기,己,3획,준5급
念,생각 념,心,8획,준5급
能,능할 능,肉,10획,준5급
團,둥글 단,囗,14획,준5급
當,마땅 당,田,13획,준5급
德,큰 덕,彳,15획,준5급
到,이를 도,刀,8획,준5급
獨,홀로 독,犬,16획,준5급
朗,밝을 랑,月,11획,준5급
良,어질 량,艮,7획,준5급
旅,나그네 려,方,10획,준5급
歷,지날 력,止,16획,준5급
練,익힐 련,糸,15획,준5급
勞,일할 로,力,12획,준5급
流,흐를 류,水,10획,준5급
類,무리 류,頁,19획,준5급
陸,뭍 륙,阜,11획,준5급
望,바랄 망,月,11획,준5급
法,법 법,水,8획,준5급
變,변할 변,言,23획,준5급
兵,병사 병,八,7획,준5급
福,복 복,示,14획,준5급
奉,받들 봉,大,8획,준5급
史,사기 사,口,5획,준5급
士,선비 사,士,3획,준5급
仕,섬길 사,人,5획,준5급
産,낳을 산,生,11획,준5급
商,장사 상,口,11획,준5급
相,서로 상,目,9획,준5급
鮮,고울 선,魚,17획,준5급
仙,신선 선,人,5획,준5급
說,"말씀 설, 달랠 세",言,14획,준5급
性,성품 성,心,8획,준5급
洗,씻을 세,水,9획,준5급
歲,해 세,止,13획,준5급
束,묶을 속,木,7획,준5급
首,머리 수,首,9획,준5급
宿,"잘 숙, 별자리 수",宀,11획,준5급
順,순할 순,頁,12획,준5급
識,알 식,言,19획,준5급
臣,신하 신,臣,6획,준5급
實,열매 실,宀,14획,준5급
兒,아이 아,儿,8획,준5급
惡,"악할 악, 미워할 오",心,12획,준5급
約,맺을 약,糸,9획,준5급
養,기를 양,食,15획,준5급
要,요긴할 요,襾,9획,준5급
友,벗 우,又,4획,준5급
雨,비 우,雨,8획,준5급
雲,구름 운,雨,12획,준5급
元,으뜸 원,儿,4획,준5급
偉,클 위,人,11획,준5급
以,써 이,人,5획,준5급
任,맡길 임,人,6획,준5급
財,재물 재,貝,10획,준5급
材,재목 재,木,7획,준5급
的,과녁 적,白,8획,준5급
傳,전할 전,人,13획,준5급
典,법 전,八,8획,준5급
展,펼 전,尸,10획,준5급
節,마디 절,竹,15획,준5급
切,"끊을 절, 온통 체",刀,4획,준5급
店,가게 점,广,8획,준5급
情,뜻 정,心,11획,준5급
調,고를 조,言,15획,준5급
卒,마칠/군사 졸,十,8획,준5급
種,씨 종,禾,14획,준5급
週,주일 주,辵,12획,준5급
州,고을 주,巛,6획,준5급
知,알 지,矢,8획,준5급
質,바탕 질,貝,15획,준5급
着,붙을 착,目,12획,준5급
參,참여할 참,厶,11획,준5급
責,꾸짖을 책,貝,11획,준5급
充,채울 충,儿,6획,준5급
宅,집 택,宀,6획,준5급
品,물건 품,口,9획,준5급
必,반드시 필,心,5획,준5급
筆,붓 필,竹,12획,준5급
害,해할 해,宀,10획,준5급
化,될 화,匕,4획,준5급
效,본받을 효,攴,10획,준5급
凶,흉할 흉,凵,4획,준5급
