level,hanja,mean,pron,hms
준3급,寧,,,편안 녕
준3급,哭,,,울 곡
준3급,鑑,,,거울 감
4급,覺,,,깨달을 각
준4급,牧,,,칠 목
3급,某,,,아무 모
준6급,功,,,공 공
준4급,寺,,,절 사
준5급,當,,,마땅 당
준3급,冠,,,갓 관
4급,柳,,,버들 류
4급,寄,,,부칠 기
준3급,桂,,,계수나무 계
준3급,館,,,집 관
준5급,決,,,결단할 결
준4급,錄,,,기록할 록
준3급,綿,,,솜 면
준3급,徑,,,지름길/길 경
준3급,祈,,,빌 기
3급,郊,,,들 교
준3급,賴,,,의뢰할 뢰
4급,戒,,,경계할 계
준3급,默,,,잠잠할 묵
4급,段,,,층계 단
5급,固,,,굳을 고
5급,擧,,,들 거
준3급,貌,,,모양 모
3급,庚,,,별 경
3급,篤,,,도타울 독
5급,件,,,물건 건
3급,軌,,,바퀴자국 궤
준3급,蓮,,,연꽃 련
4급,鑛,,,쇳돌 광
준3급,幕,,,장막 막
4급,鏡,,,거울 경
3급,乃,,,이에 내
3급,苟,,,진실로/구차할 구
준3급,谷,,,골 곡
