hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
暗,어두울 암,日,날 일,13,준4급,암,3
拜,절 배,手,손 수,9,준4급,배,1
再,두 재,冂,멀 경,6,5급,재,1
適,맞을 적,辵,쉬엄쉬엄갈 착,15,4급,적,2
半,반 반,十,열 십,5,준6급,반,1
秀,빼어날 수,禾,벼 화,7,4급,수,1
暫,잠깐 잠,日,날 일,15,준3급,잠,1
戲,놀이 희,戈,창 과,17,준3급,희,1
慘,참혹할 참,心,마음 심,14,3급,참,1
載,실을 재,車,수레 거/차,13,준3급,재,1
稀,드물 희,禾,벼 화,12,준3급,희,1
項,항목 항,頁,머리 혈,12,준3급,항,1
距,상거할 거,足,발 족 / 족할 족,12,준3급,거,1
兼,겸할 겸,八,여덟 팔,10,준3급,겸,1
獻,드릴 헌,犬,개 견,20,준3급,헌,1
咸,다 함,口,입 구,9,3급,함,1
拓,넓힐 척,手,손 수,8,준3급,척,1
頃,이랑/잠깐 경,頁,머리 혈,11,준3급,경,1
持,가질 지,手,손 수,9,4급,지,1
慈,사랑 자,心,마음 심,13,준3급,자,1
增,더할 증,土,흙 토,15,준4급,증,1
擴,넓힐 확,手,손 수,18,3급,확,1
帝,임금 제,巾,수건 건,9,4급,제,1
此,이 차,止,그칠 지,6,준3급,차,1
致,이를 치,至,이를 지,10,5급,치,1
定,정할 정,宀,집 면,8,6급,정,1
差,다를 차,工,장인 공,10,4급,차,1
遲,더딜/늦을 지,辵,쉬엄쉬엄갈 착,16,3급,지,1
毁,헐 훼,殳,창 수,13,3급,훼,1
壯,장할 장,士,선비 사,7,4급,장,1
克,이길 극,儿,어진사람 인,7,준3급,극,1
尙,오히려 상,小,작을 소,8,준3급,상,1
鴻,기러기 홍,鳥,새 조,17,3급,홍,1
蘭,난초 란,艸,풀 초,21,준3급,란,1
刺,찌를 자|찌를 척,刀,칼 도,8,준3급,척,1
錯,어긋날 착,金,쇠 금|성 김,16,준3급,착,1
底,밑 저,广,집 엄,8,4급,저,1
朱,붉을 주,木,나무 목,6,4급,주,1
辛,매울 신,辛,매울 신,7,3급,신,1
爵,벼슬 작,爪,손톱 조,18,3급,작,1
恣,마음대로/방자할 자,心,마음 심,10,3급,자,1
警,깨우칠 경,言,말씀 언,20,준4급,경,1
値,값 치,人,사람 인,10,준3급,치,1
議,의논할 의,言,말씀 언,20,준4급,의,1
累,여러/자주 루,糸,실 사|가는실 멱,11,준3급,루,1
開,열 개,門,문 문,12,6급,개,1
綿,솜 면,糸,실 사|가는실 멱,14,준3급,면,1
疲,피곤할 피,疒,병들어기댈 녁,10,4급,피,1
球,공 구,玉,구슬 옥,11,준6급,구,1
抄,뽑을 초,手,손 수,7,3급,초,1
獲,얻을 획,犬,개 견,17,준3급,획,1
貢,바칠 공,貝,조개 패,10,준3급,공,1
還,돌아올 환,辵,쉬엄쉬엄갈 착,17,준3급,환,1
打,칠 타,手,손 수,5,5급,타,1
慧,슬기로울 혜,心,마음 심,15,준3급,혜,1
絶,끊을 절,糸,실 사|가는실 멱,12,준4급,절,1
湯,끓일 탕,水,물 수,12,준3급,탕,1
限,한할 한,阜,언덕 부,9,준4급,한,1
鋼,강철 강,金,쇠 금|성 김,16,준3급,강,1
六,여섯 륙,八,여덟 팔,4,8급,륙,1
勞,일할 로,力,힘 력,12,준5급,로,1
低,낮을 저,人,사람 인,7,준4급,저,1
丸,둥글 환,丶,점 주,3,3급,환,1
守,지킬 수,宀,집 면,6,준4급,수,2
症,증세 증,疒,병들어기댈 녁,10,준3급,증,1
雷,우레 뢰,雨,비 우,13,준3급,뢰,1
曉,새벽 효,日,날 일,16,3급,효,1
麻,삼 마,麻,삼 마,11,준3급,마,1
