hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
囚,가둘 수,囗,에워쌀 위|나라 국,5,3급,수,1
淑,맑을 숙,水,물 수,11,준3급,숙,1
失,잃을 실,大,큰 대,5,6급,실,1
神,귀신 신,示,보일 시,10,준6급,신,1
侍,모실 시,人,사람 인,8,준3급,시,1
愼,삼갈 신,心,마음 심,13,준3급,신,1
詩,시 시,言,말씀 언,13,준4급,시,1
甚,심할 심,甘,달 감,9,준3급,심,1
壤,흙덩이 양,土,흙 토,20,준3급,양,1
楊,버들 양,木,나무 목,13,3급,양,1
安,편안 안,宀,집 면,6,준7급,안,1
陽,볕 양,阜,언덕 부,12,6급,양,1
憶,생각할 억,心,마음 심,16,준3급,억,1
易,바꿀 역|쉬울 이,日,날 일,8,4급,역,1
辱,욕될 욕,辰,별 진|때 신,10,준3급,욕,1
曰,가로 왈,曰,가로 왈,4,3급,왈,1
要,요긴할 요,襾,덮을 아,9,준5급,요,1
吾,나 오,口,입 구,7,3급,오,1
偉,클 위,人,사람 인,11,준5급,위,1
遠,멀 원,辵,쉬엄쉬엄갈 착,14,6급,원,1
應,응할 응,心,마음 심,17,준4급,응,1
姻,혼인 인,女,계집 녀,9,3급,인,1
頂,정수리 정,頁,머리 혈,11,준3급,정,1
諾,허락할 낙,言,말씀 언,16,준3급,낙,1
碑,비석 비,石,돌 석,13,4급,비,1
道,길 도,辵,쉬엄쉬엄갈 착,13,준7급,도,1
附,붙을 부,阜,언덕 부,8,준3급,부,1
病,병 병,疒,병들어기댈 녁,10,6급,병,1
從,좇을 종,彳,조금걸을 척,11,4급,종,1
捉,잡을 착,手,손 수,10,3급,착,1
潮,밀물/조수 조,水,물 수,15,4급,조,1
曆,책력 력,日,날 일,16,준3급,력,1
踏,밟을 답,足,발 족 / 족할 족,15,준3급,답,1
豊,풍년 풍,豆,콩 두,13,준4급,풍,1
服,옷 복,月,달 월,8,6급,복,1
南,남녘 남,十,열 십,9,8급,남,1
眠,잘 면,目,눈 목,10,준3급,면,1
培,북돋울 배,土,흙 토,11,준3급,배,1
